sound_id	wav_file	original_fs_hz	target_fs_hz	samples	peak
136	Sin160Hz_6kHz.wav	24000	192000	96000	0.125426926
137	Sin160Hz_7kHz.wav	24000	192000	96000	0.125273357
138	Sin160Hz_8kHz.wav	24000	192000	96000	0.125501659
139	Sin160Hz_9kHz.wav	24000	192000	96000	0.125295645
140	Sin160Hz_WN.wav	24000	192000	96000	0.32487468
141	Ramps_up5070_10kHz.wav	24000	192000	96000	0.124653436
142	Ramps_up5070_12kHz.wav	24000	192000	96000	0.0508072182
143	Ramps_up5070_1kHz.wav	24000	192000	96000	0.124583829
144	Ramps_up5070_2kHz.wav	24000	192000	96000	0.124655512
145	Ramps_up5070_4kHz.wav	24000	192000	96000	0.124700883
146	Ramps_up5070_5kHz.wav	24000	192000	96000	0.124583189
147	Ramps_up5070_6kHz.wav	24000	192000	96000	0.124750755
148	Ramps_up5070_8kHz.wav	24000	192000	96000	0.12496851
149	Ramps_down7050_10kHz.wav	24000	192000	96000	0.124653436
150	Ramps_down7050_12kHz.wav	24000	192000	96000	0.0508072182
151	Ramps_down7050_1kHz.wav	24000	192000	96000	0.124583829
152	Ramps_down7050_2kHz.wav	24000	192000	96000	0.124655512
153	Ramps_down7050_4kHz.wav	24000	192000	96000	0.124700883
154	Ramps_down7050_5kHz.wav	24000	192000	96000	0.124583189
155	Ramps_down7050_6kHz.wav	24000	192000	96000	0.124750755
156	Ramps_down7050_8kHz.wav	24000	192000	96000	0.12496851
