0.02722,0.22657,-0.00327
0.02950,0.24648,-0.00629
0.03042,0.26056,-0.00673
0.02125,0.17805,0.02055
0.03119,0.23597,-0.00025
0.02070,0.19456,0.01074
0.03426,0.23202,0.00112
0.02476,0.17859,0.01375
0.02159,0.24255,-0.00025
0.02355,0.16979,0.00955
0.03096,0.27424,-0.00529
0.03625,0.25131,-0.00299
0.03124,0.23876,-0.00034
0.02059,0.20979,0.00762
0.03335,0.24458,-0.00003
0.02641,0.19987,0.01066
0.03811,0.28184,0.04069
0.02378,0.21303,0.00646
0.03499,0.24366,0.00089
0.03460,0.22986,0.00109
0.03883,0.25535,-0.00421
0.03456,0.25882,-0.00457
0.03577,0.22689,0.00067
0.02131,0.21059,0.00694
0.04280,0.23888,-0.00265
0.02674,0.20161,0.00780
0.04354,0.25011,-0.00352
0.02699,0.19735,0.00794
0.03440,0.25293,-0.00015
0.04005,0.23998,0.00118
0.03360,0.27126,-0.00659
0.04166,0.27313,-0.00641
0.03634,0.23788,0.00106
0.02600,0.18029,0.01350
0.03895,0.23605,0.00380
0.02543,0.19016,0.01012
0.0,0.0,0.0
0.02649,0.19389,0.00950
0.03797,0.23321,0.00306
0.03528,0.22886,0.00022
0.04783,0.27928,-0.00732
0.04738,0.24926,-0.00580
0.03686,0.24242,0.00126
0.02663,0.20655,0.00694
0.04088,0.24170,-0.00150
0.02625,0.21590,0.00369
0.04600,0.22244,-0.00061
0.03284,0.19831,0.00854
0.03713,0.24390,0.00144
0.03570,0.25217,-0.00379
0.04558,0.25988,-0.00724
0.04199,0.24916,-0.00405
0.03664,0.21900,0.00174
0.02739,0.19468,0.00943
0.03150,0.24504,-0.00134
0.02832,0.19724,0.00676
0.02965,0.25640,-0.00177
0.02533,0.19955,0.00709
0.03989,0.24744,0.00249
0.03301,0.22036,0.00241
0.04394,0.28803,-0.01080
0.03405,0.25961,-0.00491
0.03544,0.24187,-0.00107
0.02747,0.18848,0.01097
0.03711,0.23529,-0.00077
0.02915,0.19475,0.00899
0.02552,0.26495,-0.00193
0.02574,0.20122,0.00696
0.03755,0.23677,0.00080
0.03781,0.22789,-0.00021
0.04460,0.26038,-0.00455
0.04598,0.22533,-0.00008
0.04157,0.19414,0.00488
0.0,0.0,0.0
0.04639,0.19870,0.00619
1.00000,1.00000,1.00000
0.04802,0.21235,0.00459
0.0,0.0,0.0
0.05169,0.22253,0.00165
0.04103,0.22309,0.00122
0.05149,0.22824,0.00436
0.04508,0.24758,-0.00589
0.04395,0.23507,0.00024
0.03310,0.20377,0.00935
0.04132,0.24763,-0.00344
0.03734,0.19901,0.00949
0.04992,0.24444,0.00039
0.03649,0.21560,0.00758
0.04710,0.20113,0.00847
0.02920,0.23391,-0.00040
0.04285,0.23404,0.00383
0.04523,0.25490,-0.00727
0.04012,0.22709,0.00162
0.03455,0.22170,0.00521
0.04338,0.22172,0.00234
0.03416,0.21475,0.00479
0.04385,0.21978,0.00268
0.03414,0.19884,0.00808
0.04593,0.21218,0.00950
0.04068,0.25370,0.00441
